_date, average_price , total_volume ,_4046,_4225,_4770,total_bags,type,year,geography
23/01/2022 0:00, 1.10 ," 220,641.30 ",143666.13,30241.73,46733.44,75413.5,conventional,2022,Detroit
16/01/2022 0:00, 0.99 ," 204,237.67 ",159841.02,18993.28,25403.38,112054.46,conventional,2022,Detroit
09/01/2022 0:00, 0.93 ," 263,816.13 ",214321.43,21037.2,28457.5,81241.21,conventional,2022,Detroit
03/01/2022 0:00, 0.85 ," 293,199.42 ",163607.83,39157.76,90433.83,73060.52,conventional,2022,Detroit
23/01/2022 0:00, 1.53 ," 118,085.19 ",24599.02,38832.22,54653.95,34545.77,conventional,2022,Grand Rapids
16/01/2022 0:00, 1.45 ," 78,046.11 ",24908.83,23597.18,29540.1,60199.78,conventional,2022,Grand Rapids
09/01/2022 0:00, 1.20 ," 121,795.85 ",63348.54,27481.59,30965.72,37384.2,conventional,2022,Grand Rapids
03/01/2022 0:00, 0.99 ," 182,634.67 ",25325.88,61585.32,95723.47,35595.41,conventional,2022,Grand Rapids
23/01/2022 0:00, 1.31 ," 211,210.35 ",128093.72,83068.96,47.66,126636.96,conventional,2022,Harrisburg/Scranton
16/01/2022 0:00, 1.29 ," 204,975.97 ",127446.07,77407.52,122.37,140018.96,conventional,2022,Harrisburg/Scranton
09/01/2022 0:00, 1.12 ," 259,895.57 ",167123.6,92653.82,118.15,121624.26,conventional,2022,Harrisburg/Scranton
03/01/2022 0:00, 1.11 ," 241,437.98 ",151256.89,90105.89,75.2,111354.84,conventional,2022,Harrisburg/Scranton
23/01/2022 0:00, 1.55 ," 241,552.71 ",34871.44,206563.85,117.43,83314.65,conventional,2022,Hartford/Springfield
16/01/2022 0:00, 1.49 ," 271,045.32 ",55316.38,215658.66,70.28,87303.64,conventional,2022,Hartford/Springfield
09/01/2022 0:00, 1.56 ," 253,961.29 ",35844.15,218006.51,110.65,79508.52,conventional,2022,Hartford/Springfield
03/01/2022 0:00, 1.31 ," 311,785.54 ",45514.86,266142.22,128.46,63864.42,conventional,2022,Hartford/Springfield
23/01/2022 0:00, 1.06 ," 476,563.72 ",270071.25,202222.15,4270.32,192745.75,conventional,2022,Houston
16/01/2022 0:00, 1.12 ," 451,657.59 ",305190.64,141110.68,5356.27,202483.72,conventional,2022,Houston
09/01/2022 0:00, 1.02 ," 510,310.92 ",259934.25,245915.07,4461.6,184243.64,conventional,2022,Houston
03/01/2022 0:00, 0.93 ," 499,671.74 ",230107.46,264896.5,4667.78,262093.51,conventional,2022,Houston
23/01/2022 0:00, 1.03 ," 115,523.06 ",90716.41,24544.59,262.06,52621.67,conventional,2022,Indianapolis
16/01/2022 0:00, 0.98 ," 110,459.12 ",92679.92,17529.34,249.85,58772.99,conventional,2022,Indianapolis
09/01/2022 0:00, 0.94 ," 111,983.05 ",93684.12,18125.16,173.77,52067.93,conventional,2022,Indianapolis
03/01/2022 0:00, 0.87 ," 132,422.19 ",93012.8,39010.75,398.65,47049.88,conventional,2022,Indianapolis
23/01/2022 0:00, 1.39 ," 88,838.54 ",82905.73,5880.47,52.33,52152.35,conventional,2022,Jacksonville
16/01/2022 0:00, 1.37 ," 106,547.93 ",99300.33,7137.39,110.2,51113.63,conventional,2022,Jacksonville
09/01/2022 0:00, 1.34 ," 100,365.76 ",92838.85,7439.98,86.93,47035.76,conventional,2022,Jacksonville
03/01/2022 0:00, 1.07 ," 109,550.93 ",101549.7,7934.53,66.69,45325.89,conventional,2022,Jacksonville
23/01/2022 0:00, 1.15 ," 101,531.27 ",67625.19,33497.3,408.78,119540.63,conventional,2022,Las Vegas
16/01/2022 0:00, 1.21 ," 98,009.44 ",71729.84,26161,118.6,126491.43,conventional,2022,Las Vegas
09/01/2022 0:00, 1.07 ," 100,454.26 ",65584.69,34759.26,110.3,117585.84,conventional,2022,Las Vegas
03/01/2022 0:00, 1.01 ," 89,631.02 ",49873.31,39621.38,136.34,105054.25,conventional,2022,Las Vegas
23/01/2022 0:00, 1.34 ," 915,720.91 ",747168.78,48394.48,120157.65,734644.75,conventional,2022,Los Angeles
16/01/2022 0:00, 1.31 ," 1,029,362.57 ",876173.98,53907.4,99281.19,787741.15,conventional,2022,Los Angeles
09/01/2022 0:00, 1.27 ," 863,028.77 ",692951.5,48988.15,121089.11,789130.85,conventional,2022,Los Angeles
03/01/2022 0:00, 1.09 ," 916,798.46 ",727364.45,51374.52,138059.49,653262.95,conventional,2022,Los Angeles
23/01/2022 0:00, 1.05 ," 42,263.98 ",34206.04,8020.65,37.28,34383.22,conventional,2022,Louisville
16/01/2022 0:00, 1.00 ," 47,595.16 ",39441.68,8088.31,65.17,36644.24,conventional,2022,Louisville
